sentence,label
The budget proposal was debated in parliament this week. (example 11),other
The budget proposal was debated in parliament this week. (example 4),other
A new environmental tax targets high-emission vehicles. (example 6),tax
Fishermen received fuel subsidies during the off-season. (example 5),subsidy
A luxury goods tax was imposed starting this month. (example 39),tax
New subsidies aim to boost solar panel installations on homes. (example 12),subsidy
Taxes on sugary drinks will come into effect next year. (example 19),tax
A new environmental tax targets high-emission vehicles. (example 33),tax
A subsidy program was launched to support organic farming. (example 14),subsidy
The country banned imports of used electronic waste. (example 26),ban
The budget proposal was debated in parliament this week. (example 8),other
The government announced subsidies for electric vehicle buyers. (example 25),subsidy
The government announced subsidies for electric vehicle buyers. (example 5),subsidy
Plastic bags were officially banned in all supermarkets. (example 10),ban
A new public campaign promotes financial literacy. (example 15),other
A new public campaign promotes financial literacy. (example 33),other
A nationwide ban on single-use straws was implemented. (example 11),ban
Glyphosate herbicides were banned by the agricultural ministry. (example 20),ban
New subsidies aim to boost solar panel installations on homes. (example 24),subsidy
A new environmental tax targets high-emission vehicles. (example 35),tax
A subsidy program was launched to support organic farming. (example 35),subsidy
Taxes on sugary drinks will come into effect next year. (example 10),tax
Plastic bags were officially banned in all supermarkets. (example 8),ban
Grants were provided to startup incubators in rural areas. (example 2),subsidy
A new public campaign promotes financial literacy. (example 5),other
The country banned imports of used electronic waste. (example 15),ban
A subsidy program was launched to support organic farming. (example 1),subsidy
The government increased VAT on imported electronics. (example 30),tax
Grants were provided to startup incubators in rural areas. (example 4),subsidy
New subsidies aim to boost solar panel installations on homes. (example 40),subsidy
Energy drinks are now banned from school vending machines. (example 9),ban
A luxury goods tax was imposed starting this month. (example 24),tax
Plastic bags were officially banned in all supermarkets. (example 31),ban
New subsidies aim to boost solar panel installations on homes. (example 14),subsidy
New subsidies aim to boost solar panel installations on homes. (example 5),subsidy
A subsidy program was launched to support organic farming. (example 8),subsidy
Grants were provided to startup incubators in rural areas. (example 19),subsidy
A subsidy program was launched to support organic farming. (example 10),subsidy
An international conference on trade was held in Geneva. (example 31),other
An international conference on trade was held in Geneva. (example 17),other
The budget proposal was debated in parliament this week. (example 25),other
The ministry released a report on economic inequality. (example 13),other
The ministry released a report on economic inequality. (example 22),other
Fishermen received fuel subsidies during the off-season. (example 9),subsidy
Grants were provided to startup incubators in rural areas. (example 38),subsidy
A luxury goods tax was imposed starting this month. (example 7),tax
Energy drinks are now banned from school vending machines. (example 14),ban
A luxury goods tax was imposed starting this month. (example 30),tax
A luxury goods tax was imposed starting this month. (example 1),tax
The ministry released a report on economic inequality. (example 8),other
The country banned imports of used electronic waste. (example 18),ban
The ministry released a report on economic inequality. (example 28),other
New subsidies aim to boost solar panel installations on homes. (example 10),subsidy
Grants were provided to startup incubators in rural areas. (example 1),subsidy
A new public campaign promotes financial literacy. (example 11),other
The ministry released a report on economic inequality. (example 27),other
A nationwide ban on single-use straws was implemented. (example 27),ban
The budget proposal was debated in parliament this week. (example 23),other
A subsidy program was launched to support organic farming. (example 19),subsidy
New subsidies aim to boost solar panel installations on homes. (example 30),subsidy
Plastic bags were officially banned in all supermarkets. (example 13),ban
Income tax brackets were revised in the new fiscal plan. (example 20),tax
A subsidy program was launched to support organic farming. (example 33),subsidy
Plastic bags were officially banned in all supermarkets. (example 28),ban
New subsidies aim to boost solar panel installations on homes. (example 37),subsidy
Income tax brackets were revised in the new fiscal plan. (example 4),tax
New subsidies aim to boost solar panel installations on homes. (example 16),subsidy
A new environmental tax targets high-emission vehicles. (example 19),tax
Glyphosate herbicides were banned by the agricultural ministry. (example 12),ban
Energy drinks are now banned from school vending machines. (example 37),ban
Taxes on sugary drinks will come into effect next year. (example 37),tax
Plastic bags were officially banned in all supermarkets. (example 39),ban
